company,proposal_name,current_state,problems,impact,target_persona,existing_tooling,functionality,problem_solving,risk_assessment,business_use_case,architecture_pattern,reasoning_pattern,execution_pattern,knowledge_representation,input_modalities,tool_integration,human_oversight,architecture_confidence,data_complexity,integration_complexity,prompt_complexity,chain_depth,schema_complexity,state_management,error_handling,evaluation_complexity,domain_expertise,latency_requirements,regulatory_requirements,rerepresentation_type
cvs,Enterprise Conversational Service Agent – “Agent-One”,"CVS Health fields ~280 million inbound contacts per year (calls, chat, secure messages) across Aetna Member Services, CVS Caremark, Specialty Pharmacy, MinuteClinic scheduling and Retail Pharmacy. 70 % of questions revolve around well-defined policies (eligibility, deductible balance, claim status, refill timing, immunization scheduling). Interaction content is highly repetitive, written in sixth-grade reading-level English, and governed by published plan documents, CMS rules and store SOPs.","1. Average Handle Time (AHT) 7.8 minutes; >$2.4 billion annual labor spend for 38 000 FTEs.
2. First Contact Resolution (FCR) only 62 %; 50+ million repeat calls annually.
3. Fragmented knowledge bases cause inconsistent answers → 120 k formal grievances & direct impact on Medicare Star member-experience measures.
4. Multilingual and overnight coverage gaps.","• 5-year NPV $3.2 billion (labor $1.9 B, reduced repeat contacts $650 M, Star bonus uplift $600 M, churn reduction $50 M).
• 70 % autonomous containment target → deflect 196 M yearly contacts, drive AHT for residual calls to 4 min.
• CSAT improvement forecast : +12 points.","Contact-Center VP, Site Supervisors, and ultimately all Aetna/Caremark/Retail consumers and providers seeking assistance.","NICE-InContact telephony, Salesforce Service Cloud, siloed DialogFlow chatbots (<20 % containment), AWS Transcribe for QA only, separate SharePoint knowledge wikis.","Omni-channel LLM agent that:
1. Authenticates member/provider (voice biometrics, OTP).
2. Retrieves precise benefit or policy answer from a unified knowledge graph.
3. Executes secure transactions (schedule visit, refill, replace ID card, HSA lock) through REST and FHIR APIs.
4. Summarises context and sentiment when confidence <90 % and hands off to live agent.","Eliminates hold time and transfers by unifying knowledge and automating rule-based tasks end-to-end (true containment, not agent assist).","• Regulatory – Misstatement of benefits; mitigated with policy-linked citations and deterministic answer templates.
• Privacy – PHI exposure; solved with on-prem fine-tuned model and token-level masking.
• Bias/Language – Real-time bias detection; human fallback path.",Customer Service Automation,Tool-Using Agent,Chain-of-Thought (CoT),Conditional Branching,"Knowledge Graph, API/External","Text Only, Text + Audio",Multi-System Integration,Human Escalation,high,"Multiple Sources, Structured",Write/Action (4+ systems),Dynamic Prompt Assembly,Branching (2-5 paths),Graph/Relational,User State (Long-term),Human Escalation Required,Multi-Dimensional Scoring,Specialist Knowledge,Interactive (<5 seconds),Highly Regulated (HIPAA/SOX/etc.),"Decision Tree, Entity-Relationship Diagram"
cvs,Intelligent Prescription Rejection Resolver – “iPR²”,"1.6 billion scripts filled annually; 6–9 % (96–144 million) are hard rejections at point-of-sale (NCPDP error 79, PA required, non-covered, benefit max exceeded). Each rejected claim triggers an average 6-minute manual remediation by store staff plus multiple faxes/calls to prescribers and payers. 22 % of rejected prescriptions are permanently abandoned.","• Pharmacist productivity loss (~37 million hours).
• Medication adherence deterioration → Star measure PDC drops.
• Lost script revenue ($3.5 billion).
• Member dissatisfaction and therapeutic delay.","• 50 % auto-resolution saves $1.8 billion labor & retains $1.75 billion gross margin.
• Raises adherence by 0.8 percentage points, translating to ≈$180 million in Star bonus & lower medical cost.
Five-year NPV ≈$3 billion.","Retail Lead Pharmacist, Central Prior-Auth Resolution Center managers.","RxConnect adjudication queue, legacy RightFax, Caremark RTBC (Real Time Benefit Check) APIs, manual pharmacist notes.","1. Consumes the reject feed in real-time.
2. Classifies reject reason with LLM + rule hierarchy.
3. Automatically drafts the correct PA form OR therapeutic alternative note referencing plan criteria.
4. E-sends to prescriber via Direct message, updates patient via SMS/email, re-submits claim once approval callback is received.","Automates the entire language-heavy negotiation loop, leaving only complex clinical exceptions to humans.","• Wrong substitution risk mitigated by deterministic formulary rule engine; LLM only crafts communication.
• HIPAA compliance ensured by on-prem inference, field-level encryption.
• State board regulations: Final clinical change still requires pharmacist sign-off (click-to-approve workflow).",Prior Authorization & Appeals,ReAct Agent,Chain-of-Thought (CoT),Iterative Loop,"Policy Rules, Structured Database",Structured Data,Multi-System Integration,Human Escalation,high,Streaming/Real-time,Write/Action (4+ systems),Dynamic Prompt Assembly,Sequential (4-7 steps),Hybrid (Structured + Unstructured),Complex State Machine,Compensation/Rollback,Multi-Dimensional Scoring,Specialist Knowledge,Near Real-time (minutes),Highly Regulated (HIPAA/SOX/etc.),"State Machine, Linear Flow Diagram"
cvs,Prior-Authorization Auto-Adjudicator – “PA-AA”,"Aetna & Caremark together ingest ~65 million prior-authorization (PA) requests annually (medical & pharmacy). Internal analysis shows 26 million requests (40 %) match explicit, single-line criteria: diagnosis code present, step-therapy completed, quantity within limits. Today each “easy” request still spends 6–8 minutes with a nurse/pharmacist reviewer.","• $490 million yearly labor cost.
• 18-hour average turnaround angers providers and members.
• CMS interoperability rule will publish PA timelines; non-compliance risks penalties.","Automating the 26 million deterministic cases:
– $200 million direct labor savings.
– 16 hour faster therapy start → medical cost avoidance estimate $140 million (avoided ER visits).
– Achieves CMS 2027 72-hour standard day-one, protecting $1 billion+ MA premium.",Aetna Utilization Management Nurse Manager; CVS Caremark Clinical PA Director.,"Novologix PA portal, Intake fax OCR, SharePoint policy library, manual dual sign-off with MD.","LLM pipeline that:
1. Parses inbound ePA (FHIR, PDF, fax) into structured FHIR resources.
2. Matches against a rule graph generated from policy PDFs.
3. If criteria met, drafts approval letter + UM note, triggers EDI 278 back to provider.
4. If criteria not deterministically met, compiles a succinct “pre-read” package for human.",Removes the human from 40 % of cases; accelerates the rest by >30 %.,CVS pledge: AI will not deny care. Denials still routed to clinician. Full audit logs & chain-of-thought retained. Model governance with clinical oversight committee.,Prior Authorization & Appeals,Sequential Pipeline,Planning/Decomposition,Conditional Branching,"Knowledge Graph, Policy Rules","Text Only, Structured Data",Write/Action APIs,Human Escalation,high,"Multimodal, Simple",Write/Action (4+ systems),Dynamic Prompt Assembly,Branching (2-5 paths),Deep Structured (4+ levels),Complex State Machine,Human Escalation Required,Human Evaluation Required (Complex),Specialist Knowledge,Near Real-time (minutes),Highly Regulated (HIPAA/SOX/etc.),"Decision Tree, Process + Data Model (Combined)"
cvs,Rebate Contract Compliance & Recovery Engine – “Re-CORE”,"• 6 000 active manufacturer agreements, but **transaction volume** is enormous: 2.3 billion adjudicated claims × ~7 line-items each → 16 billion annual claim-lines that must be tested against 75 000 distinct contract clauses (price protection, market-share, inflation caps).
• Current SAP Rebate module flags only arithmetic errors; legal analysts manually inspect ≈80 million claim-clause combinations/yr, recovering <0.5 % leakage.","1. Hidden leakage 2–3 % of $35 billion rebate pool = $700–$1 050 million.
2. 120 FTE analysts ($15 million) cannot cope; disputes filed >180 days late → time-barred.
3. Contract language updates (average 18 revisions/day) not synchronised with rules.","LLM-powered clause extraction & automatic reconciliation across all 16 billion claim-lines:
• Restore 1 % leakage ($350 million) with high confidence.
• Analyst workforce reduction 60 % ($9 million).
• Strengthen client value story → retention boost worth $90 million revenue.
Five-year NPV ≈$1.7 billion.",Caremark Rebate Operations VP; Pharmaceutical Contracting Legal Counsel.,"SAP Vistex, Excel trackers, sampled manual audits, limited regex NLP POC.","1. Auto-ingest every new or amended contract (PDF, redline).
2. Parse natural-language clauses into executable logic (e.g., “If TRx share ≥ 80 %, rebate = WAC×23 %”).
3. Nightly run engine comparing claim universe to clause set, flag variance, produce dispute bundle (claim list, calculated vs. paid) and pre-draft email citing clause IDs.
4. Push to Salesforce queue for optional legal sign-off.",Transforms a sampling process into deterministic 100 % audit; collapses cycle from weeks to overnight.,Clause mis-interpretation → relationship/financial risk. Mitigation: dual LLM ensemble + human review on first three months; self-learning on dispute outcomes.,Invoice & Financial Reconciliation,Sequential Pipeline,Planning/Decomposition,Sequential Chain,"Policy Rules, Structured Database","Text Only, Structured Data",Multi-System Integration,Human Approval Gate,high,"Multimodal, Simple",Write/Action (4+ systems),Dynamic Prompt Assembly,Sequential (4-7 steps),Graph/Relational,Distributed State,Graceful Degradation,Ground Truth Available (Exact Match),Professional Knowledge,Batch/Async (hours-days),Full Auditability,"Linear Flow Diagram, Entity-Relationship Diagram"
cvs,Dynamic Explanation-of-Benefits Composer – “DEOB-G”,"Aetna adjudicates ~1.2 billion medical & pharmacy claim-lines per year. Each generates a mandated Explanation of Benefits (EOB) communication to members. Current pipeline uses brittle mail-merge templates. 25 % of EOB calls to contact centers (≈70 million) stem from confusing language (“why was my claim denied?”, “what is coinsurance?”). Regulatory letters must reference exact policy clauses and CMS denial codes.","• 48 separate template libraries across business lines cause inconsistency.
• Even small policy changes require IT releases (3-week SLA).
• Contact-center load costs $700 million annually.
• CMS audits penalize unclear denial wording.","LLM-driven EOB generation:
• 100 % of 1.2 billion EOBs generated with policy-linked, plain-language narrative.
• Expected 50 % reduction in EOB-related calls → $350 million labor savings.
• Avoidance of CMS sanctions & improved member-experience Stars (incremental $120 million bonus).
Five-year NPV ≈$1.3 billion.",Aetna Member Communications Director; Claims IT Product Owner.,"Legacy HP Exstream composition engine, static XML templates, manual QA.","1. Consumes adjudicated claim JSON + policy ID.
2. Looks up policy clause in knowledge graph, retrieves explanation snippet.
3. Generates member-friendly narrative (8th-grade level; bilingual).
4. Outputs PDF, HTML and app push content, stores citation metadata for audit.","Automates language generation at claim-line scale with legal accuracy, eliminates template sprawl and downstream call burden.","Incorrect disclosures could violate CMS notice rules. Model is constrained with deterministic data tokens (amounts, codes) and uses retrieval with verbatim clause inserts; final deterministic validator ensures numeric fields match.",Document Generation & Translation,Agentic RAG,Zero-Shot,Single-Shot,"Knowledge Graph, Policy Rules",Structured Data,Read-Only APIs,Human Monitoring,high,"Multiple Sources, Structured",Read-Only (1-3 systems),Dynamic Prompt Assembly,Sequential (2-3 steps),Hybrid (Structured + Unstructured),Stateless,Retry with Backoff,Human Evaluation Required (Simple),Professional Knowledge,Batch/Async (hours-days),Highly Regulated (HIPAA/SOX/etc.),Linear Flow Diagram
dell_technologies,PROSUPPORT AUTOPILOT AGENT (PAA),"Dell receives ≈ 60 million technical-support contacts annually (phone, chat, email, TechDirect). 70 % are routine Level-1/Level-2 incidents that follow 4,200 standardized diagnostic playbooks translated into 17 languages. Logs are uploaded from iDRAC, Dell Connectivity Client, and telemetry collectors; agents manually map symptoms to playbooks, run remote scripts, and document outcomes.","1. High human effort: >8,000 global agents with $600 million annual labor cost.
2. Mean-time-to-resolution (MTTR) 4.6 hours; customer dissatisfaction drives escalations and warranty cost.
3. Knowledge fragmentation; tribal fixes never make it back to playbooks.","• Automating 65 % of cases will save ≈ $250 million OPEX and free 5,000 FTEs for high-complexity work.
• MTTR expected to fall to < 20 minutes, raising ProSupport Plus Net-Promoter-Score by 12–15 points.
• Faster resolution reduces part-swap rate 6 %, saving ~$90 million logistics.","1. Enterprise IT Administrator opening a support ticket.
2. Dell Global Command Center Duty Manager supervising automated fleet.","Salesforce Service Cloud, TechDirect portal, iDRAC, DCC telemetry, Knowledge-Centric Service KB, Live-Optics.","• Automatically classifies incoming ticket, ingests live logs, searches playbook knowledge graph, and executes approved remote remediation commands (BIOS tweaks, firmware update, service restart).
• Generates customer-facing closure report and internally updates KB; self-opens RMA only when hardware fault probability > 95 %.",Replaces human triage and execution for the majority of rule-bound incidents; human eyes intervene only on “unknown pattern” or high-risk commands.,"Primary risk is unintended command execution. Mitigations: command allow-list, reversible actions, device snapshot & rollback, dual confirmation for firmware flashes.",Technical Support & Troubleshooting,Planning Agent,Planning/Decomposition,Conditional Branching,"Knowledge Graph, Policy Rules","Text Only, Structured Data, Sensor/Telemetry",Write/Action APIs,Human Escalation,high,"Multiple Sources, Structured",Write/Action (4+ systems),Dynamic Prompt Assembly,Branching (2-5 paths),Hybrid (Structured + Unstructured),Complex State Machine,Human Escalation Required,Multi-Dimensional Scoring,Specialist Knowledge,Interactive (<5 seconds),Full Auditability,"Decision Tree, State Machine"
dell_technologies,CUSTOMER CONNECT AI (CC-AI): GLOBAL EMAIL & CHAT RESPONSE ENGINE,"Marketing, pre-sales and general-support mailboxes plus webchat generate ≈ 220 million inbound written messages/year across 30 languages. First-touch response is manual or template-based, handled by ~12,000 reps world-wide; average SLA 18 hours for email, 32 minutes for chat.","• Low first-contact-resolution (FCR 39 %).
• High attrition in BPO centers, $350 million yearly cost.
• Compliance risk—manual reps sometimes deviate from export-control, pricing, or warranty policy.","Automating 75 % of messages will:
– Save ≈ $260 million/year labor.
– Increase FCR to > 80 %.
– Capture additional $450 million pipeline via faster quote follow-up.","End-customer (consumer & SMB), Partner Sales Coordinator, Internal BPO Quality Lead.","Salesforce Service Cloud, LivePerson chat, Outlook shared mailboxes, Oracle Eloqua marketing automation.","• Ingests email/chat, classifies intent (order status, compatibility, quotation, technical query).
• Retrieves relevant policy/KB content, composes personalized multilingual response, triggers downstream actions (order lookup API, RMA creation, quote generation).
• Escalates only compliance-ambiguous or sentiment-high-risk messages (~12 %).","Eliminates response backlog, ensures policy-conform replies, and feeds CRM with structured intent tags for analytics.","Mis-quoting or violating export laws. Controls: mandatory policy retrieval, price-book checks via CPQ API, export-regulation rule engine; human review for embargoed SKU countries.",Customer Service Automation,Tool-Using Agent,Chain-of-Thought (CoT),Conditional Branching,"Vector Embeddings, Policy Rules",Text Only,Multi-System Integration,Human Escalation,high,Streaming/Real-time,Write/Action (4+ systems),Dynamic Prompt Assembly,Branching (2-5 paths),Hybrid (Structured + Unstructured),Session State (Short-term),Human Escalation Required,Multi-Dimensional Scoring,Professional Knowledge,Interactive (<5 seconds),PII/Sensitive Data,"Decision Tree, Linear Flow Diagram"
dell_technologies,WARRANTY & RMA AUTOPROCESSOR (WRAP),"~9.5 million warranty claims and return-merchandise-authorization (RMA) requests/year, spanning PCs, monitors, peripherals & ISG hardware. Current process: web form or call-center submission → manual eligibility verification → part dispatch or replacement approval. Average cycle 3.2 days; 11 % false RMAs (no fault found).","1. High claim-handling cost (~$180 million).
2. Fraudulent or mistaken claims inflate logistics spend.
3. Slow turnaround impacts customer satisfaction and APEX renewals.","• Automating 70 % of verifiable claims reduces labor $120 million and freight $60 million annually.
• Real-time decisioning enables same-day advance replacement, improving NPS +8 pts.","Consumer returning a laptop, Enterprise Hardware Asset Manager, Dell RMA Analyst.","Dell.com SupportAssist, Warranty Eligibility DB, SAP Global Logistics, FedEx/UPS APIs.","• Parses claim description & device telemetry; validates warranty, diagnoses probable fault, approves/denies instantly; auto-generates shipping labels & customs forms.
• If required, triggers remote remediation first (firmware update) before authorizing parts.",End-to-end automation eliminates manual touch for clear-cut cases; human review reserved for complex or high-value ($10k+) hardware.,Incorrect denials could breach consumer-law; false approvals waste cost. Mitigation: telemetry confidence threshold; appeal workflow; continuous fraud-pattern monitoring.,Warranty & Returns Processing,Sequential Pipeline,Chain-of-Thought (CoT),Conditional Branching,"Structured Database, Policy Rules","Text Only, Structured Data, Sensor/Telemetry",Write/Action APIs,Human Escalation,high,"Multiple Sources, Structured",Write/Action (4+ systems),Few Static Prompts (2-5),Sequential (2-3 steps),Simple Structured (flat JSON),Session State (Short-term),Graceful Degradation,Ground Truth Available (Exact Match),Professional Knowledge,Near Real-time (minutes),Full Auditability,Linear Flow Diagram
dell_technologies,AUTONOMOUS DEAL & COMPLIANCE FACTORY (ADCF),"~30,000 complex ISG AI-infrastructure deals/year, BUT each deal spawns 400–600 internal micro-interactions (config revisions, legal redlines, financing iterations, compliance packet assembly). Total language-based sub-transactions ≈ 15–18 million annually. Quote cycle averages 34 days.","• Manual coordination across Sales Engineering, Pricing, Legal, Compliance, DFS.
• GPU allocation changes trigger cascade of redrafts.
• Compliance documentation (SBOM, ISO 27001, CMMC) assembled manually.","• Cut quote cycle to < 4 days → accelerate revenue recognition of $9 billion AI backlog; modelled EBITDA uplift $1.05 billion.
• 80 % labor reduction in deal desk & legal ops (≈ $95 million).","Global Server Sales Engineer, Commercial Counsel, Bid Compliance Manager.","Salesforce CPQ, SAP S/4HANA, Clause Library (SharePoint), Archer GRC.","• Ingests RFP or rep notes; generates optimized configuration, pricing, financing schedule, and a compliance dossier (SBOM, Zero-Trust mapping, export classifications).
• Orchestrates approvals via Slack/Teams with explainable rationale.
• Maintains live “single-source-of-truth” contract that auto-adjusts when component availability or policy changes.",Full-stack automation collapses parallel workflows; compliance module embedded—removing need for separate DocBot initiative.,Margin erosion from incorrect discounts; compliance mis-tag. Controls: deterministic CPQ rules executed post-LLM generation; dual sign-off for > $10 million TCV.,Policy & Contract Analysis,Workflow Orchestration,Planning/Decomposition,Conditional Branching,"Structured Database, Policy Rules","Text Only, Structured Data",Multi-System Integration,Human Approval Gate,high,"Multimodal, Complex",Write/Action (4+ systems),Many Static Prompts (6+),DAG (Directed Acyclic Graph),Deep Structured (4+ levels),Distributed State,Human Escalation Required,Human Evaluation Required (Complex),Expert Knowledge with Complex Rules,Batch/Async (hours-days),Highly Regulated (HIPAA/SOX/etc.),"DAG (Directed Acyclic Graph), Process + Data Model (Combined)"
dell_technologies,DELL.COM POST-PURCHASE SERVICE AGENT (PPSA),"• Dell.com processes ≈ 42 million consumer & SMB orders/year.
• 28 % (≈ 12 million) generate follow-on interactions: address change, delivery reschedule, order cancellation, accessory add-on, or return request.
• Today these are handled by 4,500 BPO agents via phone/chat; average handle time 14 minutes; 4 day refund SLA.","1. High servicing cost ($190 million/year).
2. Slow refunds hurt customer loyalty and tie up working capital.
3. Manual agents occasionally break regional trade-compliance & tax rules.",• Automating 85 % of post-purchase inquiries saves $150 million annually and releases ~$1.3 billion cash by shortening refund cycle to < 48 hours.,End Consumer or SMB ordering on Dell.com; Dell E-Commerce Operations Manager.,"Magento storefront, Salesforce Order Management, UPS/FedEx APIs, Avalara tax engine.","• Conversational agent authenticates customer, accesses order via API, executes modification (split shipment, expedite), generates prepaid return label, calculates tax re-credit, and pushes refund to payment gateway.
• Proactively proposes compatible upsells (dock, monitor) when customer inquires.",Eliminates majority of low-complexity order-support tickets; provides 24×7 multilingual self-service.,Incorrect tax calculation or fraud refunds. Mitigation: deterministic tax API validation; refund limit triggers human approval > $5k.,Warranty & Returns Processing,Tool-Using Agent,Chain-of-Thought (CoT),Sequential Chain,"Structured Database, API/External",Text Only,Write/Action APIs,Fully Autonomous,high,"Multiple Sources, Structured",Write/Action (4+ systems),Dynamic Prompt Assembly,Sequential (4-7 steps),Nested Structured (2-3 levels),Session State (Short-term),Compensation/Rollback,Multi-Dimensional Scoring,Professional Knowledge,Interactive (<5 seconds),Full Auditability,"Linear Flow Diagram, Decision Tree"
delta_air_lines,IROPS AUTOPILOT,"Weather, ATC flow programs, crew legality and IT outages generate ±8 million disrupted passenger segments each year. IOC recovery desks and airport agents manually:  • search inventory, reissue PNRs, honor waivers, arrange hotels/meals, and push comms.  • toggle among six legacy systems (ROPS, Deltamatic, Navitaire, Salesforce, e-mail, IVR).  Average handle time (AHT) = 17 minutes and DOT 24-hour rebooking rule often breached.","1. $430 M annual direct cost (reimbursements, vouchers, overtime).  2. 12 % of disrupted customers refund or churn, eroding loyalty revenue.  3. Agent stress + decision inconsistency → regulatory penalties (DOT tarmac & EU 261).",• Automate 70 % of 8 M cases → 6 M auto-recovered.  • Direct cost avoidance ≈ $260 M; retained revenue ≈ $140 M; 7-pt Net Promoter Score lift.  • DOT/EU fines reduction ≈ $8 M.,"Integrated Operations Center (IOC) re-accommodation specialists, Airport Customer Service agents, Contact-Center supervisors.","ROPS optimizer, Sabre PSS, Salesforce, home-grown voucher tool, PDF waiver book, SMS/e-mail gateways.","A. Real-time ingestion of flight irregularity feeds and passenger itineraries.  B. LLM reasons over inventory, policy graph, loyalty tier and regulatory rules to:   • select best reaccommodation or interline option,   • auto-reissue e-ticket, SSRs and seat assignments,   • generate hotel/meal/transport vouchers digitally,   • draft personalized multi-channel notifications.  C. Confidence <95 % → case routed to human review queue within the same UI.","Eliminates swivel-chair look-ups, ensures consistent statute/waiver compliance, and communicates one coherent answer to customer, agent and downstream systems.",• Safety: none (no aircraft dispatch decisions).  • Regulatory: EU 261 & DOT Part 250 over/under compensation. Mitigation – embedded rule engine with nightly legal updates.  • IT Resilience: runs “warp-core offline” mode; queues transactions when PSS disconnected.,Customer Service Automation,Planning Agent,Planning/Decomposition,Conditional Branching,"Knowledge Graph, Policy Rules","Text Only, Structured Data",Multi-System Integration,Human Escalation,high,Streaming/Real-time,Write/Action (4+ systems),Dynamic Prompt Assembly,Branching (6+ paths),Graph/Relational,Complex State Machine,Human Escalation Required,Multi-Dimensional Scoring,Expert Knowledge with Complex Rules,Real-time (<1 second),Highly Regulated (HIPAA/SOX/etc.),"DAG (Directed Acyclic Graph), Process + Data Model (Combined)"
delta_air_lines,SMARTBAG CLAIM DECISIONER,"1.2 million mishandled-bag cases/year flow through WorldTracer. Agents manually review RFID scan history, timeline thresholds, and goodwill matrix before authorising compensation in Salesforce. SLA breaches drive JD Power baggage score volatility.","• Admin cost ≈ $75 M; 48-hour SLA failures cause social-media escalations.  • Inconsistent payouts create DOT Consumer Affairs audit exposure.  • Customers lack real-time status, leading to repeat calls (+35 % volume).","• Automate 80 % decisions (simple delay/loss/damage) → $40 M cost reduction.  • Cut average resolution from 34 hrs to <5 min.  • Projected 15 % drop in repeat calls, 3-pt increase in bag-handling CX metric.","Central Baggage Service Center (CBSC) agents, Airport Baggage Service Office staff, Customer-Care leadership.","RFID scan data lake, WorldTracer API, goodwill payout tables (Excel), Salesforce Service Cloud.","LLM+rules engine classifies claim type, verifies chain-of-custody scans, computes eligibility (DOT Part 370, Montreal 1999 limits, Delta goodwill tiers) and triggers:  • automatic reimbursement or miles credit,  • tracking updates for located bags,  • push of closure e-mail with legal language.",Removes human interpretation of 30-page policy manual and eliminates data-entry errors.,• Over-pay risk capped by Montreal limit checker.  • Fraud detection – integrate computer-vision inspection photos; escalate suspicious repeat claims.  • Privacy – PII encrypted; adheres to CCPA/GDPR with data-minimisation layer.,Claims Adjudication & Settlement,Tool-Using Agent,Chain-of-Thought (CoT),Sequential Chain,"Structured Database, Policy Rules","Text Only, Structured Data",Write/Action APIs,Human Escalation,high,"Multiple Sources, Structured",Write/Action (1-3 systems),Few Static Prompts (2-5),Sequential (2-3 steps),Nested Structured (2-3 levels),Stateless,Retry with Backoff,Ground Truth Available (Exact Match),Professional Knowledge,Near Real-time (minutes),Full Auditability,Decision Tree
delta_air_lines,SKYMILES CREDIT RESOLVER,"≈3 million “missing-mile” e-mails/web forms annually. Agents cross-check partner CSVs, flight coupons, promotions, and Medallion thresholds, responding in 3-5 days. Manual effort costs $22 M/yr and drives frustration for high-value elites.","• Fragmented earn rules (110 partner tables, 200+ promo exceptions).  • Human error causes goodwill write-offs and audit adjustments.  • Delayed resolutions depress Amex co-brand spend.",• Automate 92 % of tickets → $18 M cost out + $12 M extra card spend from goodwill retention.  • 24-hour response SLA (vs 4 days) lifts loyalty NPS by 5 pts.,"Loyalty Operations analysts (MSP), Offshore BPO agents, Diamond Medallion Desk.","Salesforce Service Cloud, SQL promo tables, PDF partner agreements.","1. LLM parses inbound e-mail / form (multi-lingual, OCR of boarding passes).  2. Queries Flights, Amex, partner feeds via API; applies earning logic engine.  3. If eligible: posts mileage credit; sends personalised explanation citing rule.  4. If ineligible: generates human-readable denial referencing clause; escalates edge cases (<8 %).","Converts tribal earning knowledge into codified, auditable decisions while removing copy-paste toil.",• Compliance with DOT “full fare advertising” and GDPR Right-to-Explanation – all responses include machine-generated but human-checked rationale.  • Revenue leakage – shadow mode for 30 days to benchmark against human decisions before auto-posting.,Customer Service Automation,Tool-Using Agent,Chain-of-Thought (CoT),Conditional Branching,"Structured Database, Policy Rules","Text Only, Text + Images",Read-Only APIs,Human Escalation,high,"Multimodal, Simple",Write/Action (4+ systems),Dynamic Prompt Assembly,Sequential (4-7 steps),Nested Structured (2-3 levels),Stateless,Human Escalation Required,Ground Truth Available (Exact Match),Expert Knowledge with Complex Rules,Batch/Async (hours-days),Full Auditability,"Linear Flow Diagram, Decision Tree"
delta_air_lines,CARGO AUTODOCS & COMPLIANCE AGENT,"2 million annual air-waybill consignments require creation/validation of: AWB, Dangerous Goods Declaration (DGD), ACE/AMS, EU ICS-2, Sanitary/Phyto certs, plus carrier-specific security declarations. Agents currently transcribe shipper PDFs into IBS iCargo; error rate 6 % → $12 M fines & re-handling.","• Document prep bottleneck limits uptake on digital marketplaces (cargo.one, WebCargo).  • Complex, ever-changing IATA, TSA and customs rules exceed human memory.  • Manual keying delays cut-off compliance, causing mis-loads.","• Target 85 % touchless doc generation/validation → $40 M cost out, fines down $10 M.  • Faster tender cycle → conservatively +$110 M new revenue (belly utilisation uplift).","Cargo Reservation agents (ATL, AMS, PVG), Gateway Compliance auditors.","IBS iCargo suite, cargo.one API, static PDF IATA DGR, spreadsheets for embargo lists.","A. Ingest shipper digital booking (JSON) or scanned commercial invoice.  B. LLM composes all required docs, referencing:   • IATA DGR Table 2.3.A;   • TSA Known Shipper DB;   • Country-specific tariff/embargo DB.  C. Outputs EDI messages (CIMP/FHL), pre-files customs, and pushes PDFs into iCargo.  D. Traffic-light UI for agent override; red-flag misdeclared DG.","Transforms compliance from manual transcription to rules-driven generation, aligning with e-Freight vision (paperless corridors).","• DG errors could endanger flight safety – dual validation: structured rule engine checks UN/Proper Shipping Name, Q-value, packing instructions.  • Customs penalties – system maintains auditable versioning, timestamped and signed.",Trade & Customs Documentation,Sequential Pipeline,Chain-of-Thought (CoT),Sequential Chain,"Structured Database, Policy Rules","Text Only, Text + Images, Structured Data",Multi-System Integration,Human Approval Gate,high,"Multimodal, Simple",Write/Action (4+ systems),Dynamic Prompt Assembly,Sequential (4-7 steps),Deep Structured (4+ levels),Session State (Short-term),Mission Critical,Ground Truth Available (Exact Match),Expert Knowledge with Complex Rules,Interactive (<5 seconds),Highly Regulated (HIPAA/SOX/etc.),"Linear Flow Diagram, Entity-Relationship Diagram"
delta_air_lines,CREW RESCHEDULER & CONTRACT-COMPLIANT ADVISOR,"Daily pairing changes for ~13 000 pilots & 26 000 flight attendants are performed by Crew Scheduling via OSS/N-Factor.  Any adjustment must honor:  • FAR 117 legality rules,  • 10 separate ALPA/FA union CBAs,  • duty rigs & rest, seniority, vacation and 400+ LOA side letters.  Human schedulers process ≈2.5 million swap decisions/yr; fatigue errors trigger fines.","• $180 M avoidable cost (deadhead seats, hotel nights, premium pay).  • Scheduler burnout; grievance backlog 8 weeks.  • Snowball effect during IROPS as manual swaps lag.","Phased approach:  Phase 1 – “Simple swaps” (same base, same aircraft type, reserve assignments) ≈45 % of volume → $55 M savings.  Phase 2 – Cross-fleet, multi-day patterning under supervision → additional $75 M.  Ultimate automation ceiling estimated 75 %, but phased to de-risk labor relations.","Crew Scheduling Desk, ALPA Work Rules committee, FA Crew Resources.","NAVBLUE Pairings, Sabre CrewTrac, PDF CBAs, home-grown legality checker.","• LLM ingests real-time roster, open time, fatigue limits.  • Derives compliant swap options ranked by cost, seniority preference.  • Generates human-readable explanation citing CBA clause and FAR line.  • Integrates one-click commit back into CrewTrac; automatic SMS push to crew.",Automates language-heavy contract interpretation while leaving final “commit” to scheduler during early phases.,• CBA Violation: mitigate via dual-approval workflow & ALPA audit log; union observers in design sprint.  • Safety: legality engine runs deterministic check after LLM reasoning; any discrepancy blocks action.  • Change-management: continuous shadow-mode for 90 days; weekly labor review council.,HR & Benefits Administration,Tool-Using Agent,Chain-of-Thought (CoT),Conditional Branching,"Structured Database, Policy Rules","Text Only, Structured Data",Write/Action APIs,Human Approval Gate,high,"Multiple Sources, Structured",Write/Action (1-3 systems),Dynamic Prompt Assembly,Branching (6+ paths),Hybrid (Structured + Unstructured),Session State (Short-term),Mission Critical,Ground Truth Available (Exact Match),Expert Knowledge with Complex Rules,Interactive (<5 seconds),Full Auditability,"Decision Tree, State Machine"
